"participant__code","channel","body","timestamp"
"jemdgnjp","214-stage_1-268","von wie vielen?",1574774795.75371
"biwxsqhs","214-stage_1-271","bleiben also immer im Plus",1574774798.77918
"dirw21la","214-stage_1-271","stimmt",1574774798.94165
"h5s37olr","214-stage_1-272","an überstd",1574774800.91699
"4cuvzyul","214-stage_1-273","die wahrscheinlichkeit überprüft zu werden ist 29%",1574774807.05219
"biwxsqhs","214-stage_1-271","ich bin für volles risiko",1574774807.8751
"q0k1uimp","214-stage_1-273","ja ",1574774808.61447
"k91ypf06","214-stage_1-270","würde sagen so 30 ",1574774808.91892
"74xuezf4","214-stage_1-272","2/3 wahrscheinlichkeit das wir nicht ausgewählt werden",1574774809.47326
"h5s37olr","214-stage_1-272","dementsprechend kann man schauen ob es sisch lohnt oder nicht",1574774810.08521
"5t4153nm","214-stage_1-268","ja gute frage",1574774811.97397
"dirw21la","214-stage_1-271","dann würden wir auf 2 euro minimum kommen",1574774815.62163
"7xfwb0zu","214-stage_1-270","also 70?",1574774816.38389
"4cuvzyul","214-stage_1-273","wie viel?",1574774817.73185
"74xuezf4","214-stage_1-272","50",1574774818.41653
"q0k1uimp","214-stage_1-273","dann geben wir 50 Überstunden an ?",1574774818.66811
"dirw21la","214-stage_1-271","im worst case",1574774819.30933
"5t4153nm","214-stage_1-268","wie viele leute sitzen hier",1574774820.28607
"74xuezf4","214-stage_1-272","ich wäre dafür",1574774825.42556
"biwxsqhs","214-stage_1-271","jup",1574774826.18637
"h5s37olr","214-stage_1-272","top",1574774826.44456
"dirw21la","214-stage_1-271","dann lass 50 machen",1574774826.9653
"biwxsqhs","214-stage_1-271","ok",1574774829.03489
"7xfwb0zu","214-stage_1-270","aber wenn wir überprüft werden dann wirds abgezogen",1574774829.29554
"h5s37olr","214-stage_1-272","all in?",1574774830.22876
"74xuezf4","214-stage_1-272","du auch",1574774831.36902
"7xfwb0zu","214-stage_1-270","haha",1574774831.39124
"k91ypf06","214-stage_1-270","jo also 70 dann insgesmat",1574774831.39719
"74xuezf4","214-stage_1-272","ja safe",1574774833.90497
"biwxsqhs","214-stage_1-271","dann beende ich den chat",1574774837.93076
"74xuezf4","214-stage_1-272","also 50?",1574774838.53687
"q0k1uimp","214-stage_1-273","ist das maximum ",1574774839.97225
"h5s37olr","214-stage_1-272","tmm",1574774842.50847
"dirw21la","214-stage_1-271","ok",1574774842.6609
"5t4153nm","214-stage_1-268","oder ja lass einfach auf die sichere seite gehen und die wahrheit sagen",1574774844.51774
"jemdgnjp","214-stage_1-268","wir könnten natürlich auf 16 oder 17 stunden gehen, im fall der fälle würden wir nicht viel verlieren aber zumindest etwas mehr bekommen",1574774844.96764
"4cuvzyul","214-stage_1-273","ja jetzt hab ich sorge dass es tatsächlich nicht nach zufall passiert haha",1574774847.5644
"74xuezf4","214-stage_1-272","hahhaha",1574774848.94436
"7xfwb0zu","214-stage_1-270","dann werden 15 punlkte abgezogen",1574774849.49481
"h5s37olr","214-stage_1-272",":DD",1574774852.14886
"q0k1uimp","214-stage_1-273","naja ",1574774853.49141
"k91ypf06","214-stage_1-270","ja aber sind doch eh peanuts und wenn wir nicht erwischt werden lohnt wenigstens ",1574774855.13456
"74xuezf4","214-stage_1-272","hade",1574774859.24114
"5t4153nm","214-stage_1-268","ja das ist gut",1574774860.06972
"h5s37olr","214-stage_1-272","tmm",1574774862.35648
"7xfwb0zu","214-stage_1-270","ja wrd ich aber auch sagen",1574774863.32666
"h5s37olr","214-stage_1-272","50",1574774863.90871
"h5s37olr","214-stage_1-272","fuffi",1574774866.92476
"jemdgnjp","214-stage_1-268","also 16 oder 17",1574774868.97677
"74xuezf4","214-stage_1-272","alles auf rot",1574774869.85622
"q0k1uimp","214-stage_1-273","wahrscheinlich werden die anderen auch so denken",1574774870.3786
"h5s37olr","214-stage_1-272","chat beenden?",1574774872.37202
"k91ypf06","214-stage_1-270","also geben wir dann 30 an ?",1574774872.69407
"5t4153nm","214-stage_1-268","17?",1574774872.85356
"bgb6kfog","214-stage_1-267","Wir haben 15 Überstunden ",1574774872.87467
"7xfwb0zu","214-stage_1-270","guti 70",1574774874.79094
"jemdgnjp","214-stage_1-268","okay 17",1574774876.2084
"k91ypf06","214-stage_1-270","perfekt",1574774878.68607
"74xuezf4","214-stage_1-272","ya",1574774879.44061
"5t4153nm","214-stage_1-268","okay",1574774879.50943
"q0k1uimp","214-stage_1-273","wenn alle das machen ist die wahrscheinlichkeit wieder gering",1574774882.73193
"jemdgnjp","214-stage_1-268","also chat beenden?",1574774884.80866
"h5s37olr","214-stage_1-272","eyva",1574774884.97147
"5t4153nm","214-stage_1-268","ja",1574774895.456
"4cuvzyul","214-stage_1-273","sagen wir 35?",1574774898.89281
"13k4262b","214-stage_1-267","Hallo, wie wäre es denn, wenn wir bei der Wahrheit bleiben und das eingeben, was im Brief steht ?",1574774900.55877
"q0k1uimp","214-stage_1-273","ok",1574774915.22759
"bgb6kfog","214-stage_1-267","finde ich völlig in Ordnung",1574774915.51286
"13k4262b","214-stage_1-267","Ja, 15 ist richtig.",1574774915.71943
"4cuvzyul","214-stage_1-273","okay",1574774918.91518
"q0k1uimp","214-stage_1-273","dann viel erfolg für un shaha",1574774934.52369
"4cuvzyul","214-stage_1-273","oder ne 40",1574774935.97892
"4cuvzyul","214-stage_1-273","40?",1574774939.2352
"q0k1uimp","214-stage_1-273","40 ",1574774939.4357
"q0k1uimp","214-stage_1-273","abgemacht",1574774941.76289
"13k4262b","214-stage_1-267","O. k., dann machen wir das doch.",1574774943.6231
"4cuvzyul","214-stage_1-273","okay gut",1574774943.77853
"4cuvzyul","214-stage_1-273","also 40 fest ",1574774947.57863
"q0k1uimp","214-stage_1-273","ja",1574774951.17174
"bgb6kfog","214-stage_1-267","okay#",1574774951.64155
"13k4262b","214-stage_1-267","Wollen wir den Chat beenden ?",1574774968.83865
"q0k1uimp","214-stage_1-273","dann tschau ",1574774970.73936
"bgb6kfog","214-stage_1-267","ja",1574774976.09659
"4cuvzyul","214-stage_1-273","ciao",1574774977.85045
"13k4262b","214-stage_1-267","O. k., tschüß dann.",1574774988.4382
"bgb6kfog","214-stage_1-267","tschü",1574774992.52064
"wmznqgle","214-stage_1-269","Reichen dir die 15 ?",1574775233.31292
"for718dj","214-stage_1-269","Hallo ja",1574775245.78099
"for718dj","214-stage_1-269","und diR ?",1574775274.91727
"wmznqgle","214-stage_1-269","ok mir ists eigentlich egal, wir können auch 50 sagen. die chance kontrolliert zu werden liegt bei 1/3 ",1574775279.74985
"for718dj","214-stage_1-269","JA ABER NEIN",1574775303.46023
"wmznqgle","214-stage_1-269","ok also 15?",1574775314.01496
"for718dj","214-stage_1-269","1 zu 3 ?",1574775332.00372
"wmznqgle","214-stage_1-269","ja 12 Leute, 6 Gruppen, 2 werden ausgewählt",1574775348.3108
"for718dj","214-stage_1-269","ok alles oder nichts",1574775367.37121
"wmznqgle","214-stage_1-269","top :D",1574775372.31092
"for718dj","214-stage_1-269","50 dinger",1574775378.24379
"wmznqgle","214-stage_1-269","9€ safe",1574775383.4704
"for718dj","214-stage_1-269","SAFE",1574775387.50781
"for718dj","214-stage_1-269","hoffentlich",1574775392.31554
"wmznqgle","214-stage_1-269","ja ansonsten 4 sind nur 1,5 € verlust",1574775406.4222
"for718dj","214-stage_1-269",":-)",1574775406.45029
"for718dj","214-stage_1-269","ok 50",1574775428.60978
"wmznqgle","214-stage_1-269","ja",1574775431.05327
"for718dj","214-stage_1-269",";-)",1574775443.04177
"for718dj","214-stage_1-269","wenn das jetzt aber alle machen?",1574775489.17168
"for718dj","214-stage_1-269","WTF",1574775493.8738
"wmznqgle","214-stage_1-269","ja die chance ist trotzdem 1/3",1574775497.75642
"for718dj","214-stage_1-269","egal",1574775499.04162
"wmznqgle","214-stage_1-269","die sieht ja nicht wer was angegeben hat",1574775513.85325
"for718dj","214-stage_1-269","4,- Euro Safe",1574775515.30766
"5oeu51fv","4-stage_1-11","Hi!",1576584959.77508
"xn95a270","4-stage_1-11","hallo ",1576584964.51248
"5oeu51fv","4-stage_1-11","10 steht bei dir auch auf dem zettel, oder?",1576584977.74279
"xn95a270","4-stage_1-11","Schrieb mal einen etwas längeren Text als Antowrt",1576584983.24827
"8k0ek7on","4-stage_1-8","Hey",1576585002.1174
"5oeu51fv","4-stage_1-11","Stehen bei dir auch 10 Überstunden auf dem Zettel?",1576585002.43813
"xn95a270","4-stage_1-11","Dann kann ich dich lokalisieren",1576585002.6713
"hhiphqgy","4-stage_1-8","Hey",1576585005.33407
"5oeu51fv","4-stage_1-11","Ach so",1576585006.14883
"5oeu51fv","4-stage_1-11","Aber was haben wir davon`?",1576585012.18234
"hhiphqgy","4-stage_1-8","Lass einfach auf die vollen 60 setzen",1576585017.1005
"8k0ek7on","4-stage_1-8","Es gibt 6 Gruppen oder?",1576585021.26012
"hhiphqgy","4-stage_1-8","Ja",1576585024.86878
"5oeu51fv","4-stage_1-11","aspod sdfj psdo sdfo sdfoi sdfo sdok spdok sdokf sado dsoi fsdiüaldsüpaoweüoivkpoeü ospkepjkeprmpsacpoiepoirq",1576585031.75641
"xn95a270","4-stage_1-11","Naja eigentlich sollen wir ja keine zahl der überstunden sagen oder?",1576585033.74162
"5oeu51fv","4-stage_1-11","skdjf+ajfa",1576585034.46303
"hhiphqgy","4-stage_1-8","1/3 Chance dass wir kontrolliert ewerden",1576585043.44534
"5oeu51fv","4-stage_1-11","Nee, doch, wir wollen doch eine Zahl sagen?",1576585046.85379
"8k0ek7on","4-stage_1-8","jo genau",1576585048.4849
"8k0ek7on","4-stage_1-8","dann all in ;)",1576585056.70778
"hhiphqgy","4-stage_1-8","Alles klar ",1576585066.00453
"8k0ek7on","4-stage_1-8","saubere Arbeit",1576585074.43568
"xn95a270","4-stage_1-11","Es gibt mehrere Leute die 10 Studen auf demn zettel stehen haben - die personen links und rechts neben mir hzaben auch 10 stehen, jedoch schreibe ich nicht mit diesen, sondern mit dir ",1576585074.63149
"hhiphqgy","4-stage_1-8","Hoffen wir aufs beste",1576585085.50108
"8k0ek7on","4-stage_1-8","und wie gehts sonst so? schönes wetter heute",1576585094.03539
"hhiphqgy","4-stage_1-8","Ja nice auf jeden Fall",1576585103.35677
"hhiphqgy","4-stage_1-8","Entspannter Tahg",1576585111.26955
"5oeu51fv","4-stage_1-11","Sollen wir all-in machen und 60 Überstunden abgeben (und am Ende vielleicht gar nichts oder doppelt so viel)?",1576585112.10115
"5oeu51fv","4-stage_1-11","Haben alle vielleicht nur 10?",1576585119.30903
"hhiphqgy","4-stage_1-8","Aber klassischer Vorweihnachtsstress",1576585119.9333
"hhiphqgy","4-stage_1-8","Bei dir so?",1576585123.99665
"8k0ek7on","4-stage_1-8","jetzt noch bissl cash dann wars auch ein erfolgreicher tag",1576585128.34635
"xn95a270","4-stage_1-11","Könnte gut sein, dass alle 10 haben -",1576585131.01383
"4m2h93o6","4-stage_1-12","Hallöchen",1576585134.89152
"c2rj2tut","4-stage_1-12","hey",1576585139.01468
"xn95a270","4-stage_1-11"," die Mindestvergütung von 5 euro ist uns ja sicher oder? ",1576585144.61476
"hhiphqgy","4-stage_1-8","Ja wär halt echt mies wenn wir kontrolliert werden",1576585148.7721
"c2rj2tut","4-stage_1-12","hab 10überstunden",1576585149.67066
"e6ygkxfp","4-stage_1-9","hey",1576585149.82327
"4mnz2x90","4-stage_1-9","hey",1576585153.02235
"4m2h93o6","4-stage_1-12","ich auch",1576585154.66719
"hhiphqgy","4-stage_1-8","Aber die Chancen sind auf unserer Seite",1576585157.87641
"4mnz2x90","4-stage_1-9","wie viele überstünden hast du?",1576585158.97352
"5oeu51fv","4-stage_1-11","Es gibt eh nur 6 Teams, die Chancen überprüft zu werden sind also hoch",1576585161.69241
"4m2h93o6","4-stage_1-12","aber wollen wir das so angeben?",1576585163.79519
"4mnz2x90","4-stage_1-9","ich hab 10",1576585164.85307
"e6ygkxfp","4-stage_1-9","10",1576585165.02285
"xn95a270","4-stage_1-11","Lass mal ganz opportunistisch sein und die 60 nehmen - wobei bei 6 gruppen eine ja zu 100% überprüft werden wird. ",1576585169.42264
"5oeu51fv","4-stage_1-11","Ja, ein bisschen kriegt man schon was",1576585170.59592
"e6ygkxfp","4-stage_1-9","was wollen wir angeben?",1576585172.51093
"4mnz2x90","4-stage_1-9","ja gut :D",1576585175.12513
"8k0ek7on","4-stage_1-8","wir packen dat schon",1576585175.8987
"c2rj2tut","4-stage_1-12","heißt 50 bei korrekter angabe",1576585178.68599
"e6ygkxfp","4-stage_1-9","jo haha",1576585181.75897
"8k0ek7on","4-stage_1-8","bin optimistisch",1576585182.68229
"5oeu51fv","4-stage_1-11","Was meinst du, richtig angeben oder zocken?",1576585184.36432
"4mnz2x90","4-stage_1-9","denkst du wir werden überprüft?",1576585185.90134
"hhiphqgy","4-stage_1-8","Ich auch",1576585186.484
"4m2h93o6","4-stage_1-12","richtig",1576585190.70706
"c2rj2tut","4-stage_1-12","50 an gesamt-vergütung",1576585192.33379
"xn95a270","4-stage_1-11","Alsoß ",1576585192.96618
"xn95a270","4-stage_1-11","?",1576585194.60613
"c2rj2tut","4-stage_1-12","genau",1576585196.89352
"e6ygkxfp","4-stage_1-9","puh ich hoffe doch nicht",1576585196.90226
"4mnz2x90","4-stage_1-9","ziemlich geringe wahrscheinlichkeit",1576585198.74051
"xn95a270","4-stage_1-11","Entscheidung jetzt bitte",1576585201.15016
"4m2h93o6","4-stage_1-12","mit 60 überstunden würden wir ein double or nothing haben",1576585207.66703
"e6ygkxfp","4-stage_1-9","sicher oder risiko spielen?",1576585209.62271
"xn95a270","4-stage_1-11","Pokern oder nicht?",1576585210.90194
"5oeu51fv","4-stage_1-11","Meinetwegen 60 Überstunden angeben und es drauf ankommen lassen!",1576585215.32406
"xn95a270","4-stage_1-11","40sekunden",1576585215.50989
"8k0ek7on","4-stage_1-8","also: 60 überstunden ja?",1576585217.39393
"e6ygkxfp","4-stage_1-9","ich bin für risiko",1576585219.75911
"xn95a270","4-stage_1-11","Okay - aber versprich es mir ",1576585222.67783
"8k0ek7on","4-stage_1-8","nur um sicher zu gehen ^^",1576585222.89781
"hhiphqgy","4-stage_1-8","Jo",1576585226.64389
"5oeu51fv","4-stage_1-11","Indianerehrenwort",1576585228.13961
"4m2h93o6","4-stage_1-12","lieber 5€ sicher ",1576585228.52252
"hhiphqgy","4-stage_1-8","^^",1576585233.51486
"xn95a270","4-stage_1-11","dann machen wir das so!",1576585234.14997
"4mnz2x90","4-stage_1-9","10 überstunden sind ja nur 1€ also haben wir nicht viel zu verlieren",1576585234.54901
"5oeu51fv","4-stage_1-11","Pinkie promise",1576585236.46767
"4m2h93o6","4-stage_1-12","oder 10€ versuchen?",1576585237.00285
"e6ygkxfp","4-stage_1-9","genau ",1576585239.63796
"4mnz2x90","4-stage_1-9","5€ kriegen wir so oder so",1576585240.05251
"xn95a270","4-stage_1-11","<3",1576585242.25391
"4mnz2x90","4-stage_1-9","also risiko",1576585244.34085
"hhiphqgy","4-stage_1-8","easy 15 €",1576585248.62751
"5oeu51fv","4-stage_1-11","#inthistogether",1576585249.09123
"4m2h93o6","4-stage_1-12","ich wär für die 5€",1576585250.90533
"xn95a270","4-stage_1-11","<§§§",1576585254.94961
"4mnz2x90","4-stage_1-9","kann jeder 60 Überstuden angeben oder 60 zusammen und jeder 30",1576585260.8839
"8k0ek7on","4-stage_1-8","supi waren wundervolle 5 min",1576585263.15329
"4m2h93o6","4-stage_1-12","dann kann ich mir ein paar Club Mate holen",1576585266.66617
"hhiphqgy","4-stage_1-8","Ja schön mit dir",1576585268.98707
"tozbybl6","4-stage_1-7","Hallo",1576585269.02611
"de063mau","4-stage_1-7","hi",1576585271.55565
"hhiphqgy","4-stage_1-8","Machs gut",1576585272.48154
"4m2h93o6","4-stage_1-12","@_@",1576585273.59426
"e6ygkxfp","4-stage_1-9","ich denke jeder 60",1576585274.53451
"c2rj2tut","4-stage_1-12","hört sich gut an",1576585276.90115
"8k0ek7on","4-stage_1-8","heut abend schon was vor? ;))",1576585277.90549
"c2rj2tut","4-stage_1-12",":D",1576585278.44023
"hhiphqgy","4-stage_1-8",";)))",1576585283.73903
"de063mau","4-stage_1-7","werden wir ehrlich?",1576585284.62765
"4m2h93o6","4-stage_1-12","chat beenden?",1576585287.09831
"4mnz2x90","4-stage_1-9","sicher?",1576585294.65981
"de063mau","4-stage_1-7","und schreiben das was wir tatsächlich ahe bn",1576585296.51347
"e6ygkxfp","4-stage_1-9","nein...?",1576585300.33418
"c2rj2tut","4-stage_1-12","also unsere 10 geben wir an",1576585301.90895
"4m2h93o6","4-stage_1-12","genau",1576585305.51436
"tozbybl6","4-stage_1-7","Nur 2 Gruppen werden überprüft",1576585308.45782
"c2rj2tut","4-stage_1-12","ok. dann chat beenden",1576585312.48476
"tozbybl6","4-stage_1-7","also wahrscheinlichkeit ist nicht so hoch ",1576585315.37723
"de063mau","4-stage_1-7","ja",1576585316.01023
"4m2h93o6","4-stage_1-12",":)",1576585318.09028
"tozbybl6","4-stage_1-7","wenn wir lügen würden",1576585319.68971
"c2rj2tut","4-stage_1-12",":)",1576585320.41301
"de063mau","4-stage_1-7","okay",1576585334.81894
"4mnz2x90","4-stage_1-9","schwierig",1576585341.3239
"tozbybl6","4-stage_1-7","Ich würde sagen dass wir 10 mehr überstünden angeben könnnen",1576585343.95342
"e6ygkxfp","4-stage_1-9","in der tat",1576585348.03774
"4mnz2x90","4-stage_1-9",":D",1576585350.41169
"de063mau","4-stage_1-7","ja",1576585355.95439
"tozbybl6","4-stage_1-7","damit ist die Strafe auch nicht so hoch wenn wir überprüft werden",1576585360.84924
"de063mau","4-stage_1-7","einverstanden",1576585362.02617
"e6ygkxfp","4-stage_1-9","der text drückt das nicht klar aus oder bin ich dumm?",1576585369.58946
"tozbybl6","4-stage_1-7","also 20 überstunden ",1576585375.18521
"de063mau","4-stage_1-7","dann verlieren wir auch nicht so viel",1576585376.01842
"de063mau","4-stage_1-7","ja",1576585377.93834
"tozbybl6","4-stage_1-7","genau ",1576585378.65702
"4mnz2x90","4-stage_1-9","ich check es auch nicht",1576585379.21936
"e6ygkxfp","4-stage_1-9","sonst können wir ja jder 30 machen",1576585379.67711
"4mnz2x90","4-stage_1-9","hab 3 mal gelesen",1576585383.26689
"de063mau","4-stage_1-7","perfekt",1576585384.55398
"tozbybl6","4-stage_1-7","Ja sehr gut :)",1576585386.88114
"4mnz2x90","4-stage_1-9","okay dann jeder 30",1576585388.55489
"e6ygkxfp","4-stage_1-9","ok",1576585394.22974
"de063mau","4-stage_1-7","dann können wir chat beenden?",1576585398.09988
"4mnz2x90","4-stage_1-9","prima",1576585401.1943
"tozbybl6","4-stage_1-7","Yeap",1576585412.20112
"vilhb3jc","4-stage_1-10","hey, also wir haben jeder 10",1576585695.4662
"vilhb3jc","4-stage_1-10","man darf bis 60",1576585722.47254
"vilhb3jc","4-stage_1-10","sollen wir das richtige angeben?",1576585738.45637
"vilhb3jc","4-stage_1-10","oder mehr und darauf hoffen, dass wir nicht kontrolliert werden?",1576585757.52
"ax89w8tk","4-stage_1-10","hey, also ja. und was müssen wir genau machen, einfach die 10 Stunden eingeben?",1576585762.20555
"vilhb3jc","4-stage_1-10","ja, entweder korrekt die 10 angeben, dann bekommen wir sicher einen euro",1576585808.63193
"vilhb3jc","4-stage_1-10","oder wir geben mehr an",1576585819.75947
"vilhb3jc","4-stage_1-10","zb. 30 oder 60",1576585831.35902
"vilhb3jc","4-stage_1-10","wenn wir nicht kontrolliert werden, bekommen wir dann 3 oder 6 euro",1576585854.83949
"vilhb3jc","4-stage_1-10","wenn wir kontrolliert werden aber -2 oder -5euro",1576585876.91913
"vilhb3jc","4-stage_1-10","also abgezogen von den 5 euro mindestvergütung",1576585898.02318
"ax89w8tk","4-stage_1-10","also theoretisch wir alle sollen 5 euro bekommen, und dann falls wir kontrolliert werden, dann kriegen wir abzug z.B 2-3 Euro, also insgesamt 3",1576585929.04318
"vilhb3jc","4-stage_1-10","also: geben wir richtig an und gehen nummer sicher? Oder machen wir mehr und hoffen, wir werden  nicht kontrolliert?",1576585943.56719
"vilhb3jc","4-stage_1-10",":)",1576585947.73481
"vilhb3jc","4-stage_1-10","haben nur noch 30sek",1576585960.20651
"ax89w8tk","4-stage_1-10","von der mindestvergütung kann nicht abgezigen werden ?",1576585971.85095
"vilhb3jc","4-stage_1-10","weiß ich nicht",1576585979.72675
"vilhb3jc","4-stage_1-10"," k 30",1576585982.03838
"b4tkoftt","2-FHM-4","Hallo! Ich wäre dafür die 10 Überstunden anzugeben. Du?",1589537364.05075
"ifig0vld","2-FHM-4","Hi! Ja, ich auch. Also nicht lügen ",1589537376.08718
"b4tkoftt","2-FHM-4","Super duper",1589537381.46655
"b4tkoftt","2-FHM-4","dann können wir ja auch aufhören :)",1589537394.28566
"b4tkoftt","2-FHM-4","tschüüß",1589537397.28166
"e1y483pm","2-FHM-3","Hallo",1589537529.07037
"yykzm36r","2-FHM-3","Hallo",1589537536.10421
"mjbrj6gi","2-FHM-7","Hi, sollen wir 50 angeben oder willst du auf Nummer sicher gehen?",1589537537.16091
"0qqstc3k","2-FHM-7","Ja lass uns 50 angeben",1589537549.85923
"e1y483pm","2-FHM-3","Mir wurde angezeigt, dass wir 10 Überstunden haben",1589537560.10643
"0qqstc3k","2-FHM-7","Oder magst du auf Nummer sicher gehen?",1589537560.81328
"746n06ns","2-FHM-8","Hallo",1589537560.86237
"t5q3kdvg","2-FHM-5","Hallo?",1589537564.67448
"u6rcx9p8","2-FHM-5","Hallo",1589537568.07778
"yykzm36r","2-FHM-3","Richtig, mir auch",1589537568.77109
"mjbrj6gi","2-FHM-7","ok oder 60 darf man maximal ne? dann können wir auch direkt 60 angeben",1589537575.63608
"yykzm36r","2-FHM-3","wenn man jetzt mehr angibt als 10 Überstunden",1589537578.73509
"u6rcx9p8","2-FHM-5","Wie viele Überstunden hast du gemacht?",1589537585.71847
"2y6l7cvt","2-FHM-6","Sollen wir einfach 10 angeben? ",1589537588.8229
"wgmqn1k9","2-FHM-8","hi",1589537592.49891
