participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
egoeul4u,127,1,y8eo69l7,127-stage_1-127,Mitarbeiter,ssss,1574412064.5872471
20387xyn,128,1,3pnnksag,128-stage_1-128,Mitarbeiter,sss,1574414370.454144
yr7axl3t,129,1,suc5tnbj,129-stage_1-129,Mitarbeiter,rrr,1574414477.381529
yr7axl3t,129,2,gjga12ke,129-stage_1-129,Mitarbeiter,rrr,1574414480.887808
jonc8ml0,130,1,qllesm4n,130-stage_1-130,Mitarbeiter,ddd,1574414579.286102
jonc8ml0,130,2,0txyysc5,130-stage_1-130,Mitarbeiter,ddd,1574414582.0980768
nfsyqmmg,194,1,q02nlbnm,194-stage_1-241,Mitarbeiter,sss,1574763219.160692
nfsyqmmg,194,1,q02nlbnm,194-stage_1-241,Mitarbeiter,sss,1574763219.1671522
nfsyqmmg,194,2,whjqodl1,194-stage_1-241,Mitarbeiter,sss,1574763225.376648
752dfl82,196,1,l1bhjwgf,196-stage_1-243,Mitarbeiter,ddd,1574763463.3421938
0iq5tljy,199,1,6jbwmbbp,199-stage_1-246,Mitarbeiter,dddd,1574763738.472726
0iq5tljy,199,2,xme0t0jf,199-stage_1-246,Mitarbeiter,dddd,1574763741.549263
zh5vbvx4,202,1,jz1qah2v,202-stage_1-249,Mitarbeiter,dddd,1574764813.040756
zh5vbvx4,202,2,w5cosvud,202-stage_1-249,Mitarbeiter,dddsss,1574764817.242804
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,hallo,1574774589.894042
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,hey,1574774590.7437792
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,ok scheint zu funktionieren,1574774602.540988
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,hast du nen vorschlag?,1574774605.11963
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,wie viel wir angeben?,1574774611.5119638
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,die fixe vergütung sind letzten endes 4 €,1574774623.820708
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,*ist,1574774627.58065
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,ja,1574774629.295582
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,wie hoch ist deine risikobereitschaft?,1574774640.412724
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,"chance ist etwa 72 prozent, dass wir durchkommen",1574774647.4635
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,mit lügen,1574774650.415314
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,jup,1574774654.484652
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,würde auf risiko gehen,1574774662.111215
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,du?,1574774665.063039
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,letzten endes haben wir nichts zu verlieren,1574774670.1163468
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,jup,1574774672.966816
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,also 50?,1574774677.83886
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,50 Überstunden alsoß ;D,1574774681.467843
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,*also,1574774687.228213
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,ja?,1574774688.4076228
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,hallo,1574774689.253185
lz7dyuw7,214,3,jemdgnjp,214-stage_1-268,Mitarbeiter,wollen wir die richtige Anzahl angeben,1574774690.386006
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,hi,1574774691.344251
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,ja,1574774692.3798919
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,wir haben 15 überstunden,1574774699.052944
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,noch weitere fragen?,1574774701.243953
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,willst du die wahrheit sagen?,1574774701.815268
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,leider sind es nicht so viele überstunden,1574774703.421449
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,haha,1574774703.75885
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,ja,1574774705.653419
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,wait,1574774707.5745559
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,ich würde mehr angeben ,1574774711.6767309
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,erstmal: lügen oder nicht lügen?,1574774714.7098198
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,von den 4 euro können wir aber verlieren,1574774716.9506419
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,okay,1574774717.8937442
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,oder nicht?,1574774720.734693
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,aber wie viel,1574774723.757725
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,wie viele überstunden hast du,1574774731.568655
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,weil die wahrscheinlichkeit überprüft zu werden meines erachtens gering ist ,1574774732.325257
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,das bin ich mir nicht sicher,1574774734.563494
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,wir würden dann bei 50 cent landen,1574774737.062048
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,So was wollen wir angeben?,1574774739.991504
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,15,1574774743.847608
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,glaube schon,1574774744.886047
lz7dyuw7,214,3,jemdgnjp,214-stage_1-268,Mitarbeiter,"mir egal, da wir die genaue wahrscheinlichkeit ausgewählt zu werden nicht kennen, würde ich fast sagen ja ",1574774750.3145669
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,"all in, dass wir am ende vielleicht weniger als fix ist odernur bisschen  mehr?",1574774752.117216
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,auf sicher?,1574774752.279161
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,aber bei 50 überstunden können wir maximal 40 verlieren,1574774754.059289
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,wenn wir für 30 gehen,1574774755.950177
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,oder risiko?,1574774756.3924549
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,die frage ist nach welchem kriterium überprüft wird,1574774757.1164958
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,"ich würde sagen wenn schon, dann richtig haha",1574774759.549145
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,hallo,1574774759.977518
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,hallo,1574774760.34094
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,nicht 40 sry,1574774761.115412
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,35,1574774762.523368
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,wv hast du denn,1574774767.2371252
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,haben wir in jedem fall 4 euro,1574774768.604815
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,ja haha also so stehts aufm zettel,1574774769.1752708
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,15,1574774769.881129
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,oder mehr,1574774770.7571409
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,ich dachte zufällig aber das stimmt...,1574774773.141095
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,aber es werden ja nur 2 gruppen ausgewählt,1574774774.086524
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,auf risiko,1574774776.6714182
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,du,1574774778.3051069
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,oder doch volles risiko?,1574774778.4455261
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,same,1574774779.125056
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,vielleivht nach hähe,1574774779.828843
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,ok,1574774781.833189
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,"wir haben 15 ÜS, heißt uns wird nur die differenz abgezogen",1574774782.8584251
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,sonst lohnt es sich hicht,1574774787.342877
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,ja also 40 + 15 =55 angeben?,1574774788.25583
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,also max 35,1574774789.802685
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,wir sind 12 leute,1574774793.5129359
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,wie viel,1574774794.695914
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,was denkst du wird das max sein was in den blättern angegebn werdern kann,1574774794.941269
lz7dyuw7,214,3,jemdgnjp,214-stage_1-268,Mitarbeiter,von wie vielen?,1574774795.75371
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,bleiben also immer im Plus,1574774798.7791822
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,stimmt,1574774798.9416509
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,an überstd,1574774800.916991
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,die wahrscheinlichkeit überprüft zu werden ist 29%,1574774807.052188
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,ich bin für volles risiko,1574774807.875102
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,ja ,1574774808.614472
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,würde sagen so 30 ,1574774808.918918
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,2/3 wahrscheinlichkeit das wir nicht ausgewählt werden,1574774809.473257
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,dementsprechend kann man schauen ob es sisch lohnt oder nicht,1574774810.085205
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,ja gute frage,1574774811.97397
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,dann würden wir auf 2 euro minimum kommen,1574774815.621631
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,also 70?,1574774816.3838909
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,wie viel?,1574774817.731848
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,50,1574774818.416526
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,dann geben wir 50 Überstunden an ?,1574774818.668106
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,im worst case,1574774819.309335
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,wie viele leute sitzen hier,1574774820.286072
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,ich wäre dafür,1574774825.4255612
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,jup,1574774826.1863658
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,top,1574774826.444555
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,dann lass 50 machen,1574774826.965296
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,ok,1574774829.034888
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,aber wenn wir überprüft werden dann wirds abgezogen,1574774829.2955399
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,all in?,1574774830.2287629
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,du auch,1574774831.369025
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,haha,1574774831.391244
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,jo also 70 dann insgesmat,1574774831.397186
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,ja safe,1574774833.9049659
lz7dyuw7,214,10,biwxsqhs,214-stage_1-271,Mitarbeiter,dann beende ich den chat,1574774837.9307609
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,also 50?,1574774838.536866
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,ist das maximum ,1574774839.9722502
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,tmm,1574774842.508472
lz7dyuw7,214,9,dirw21la,214-stage_1-271,Mitarbeiter,ok,1574774842.660901
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,oder ja lass einfach auf die sichere seite gehen und die wahrheit sagen,1574774844.51774
lz7dyuw7,214,3,jemdgnjp,214-stage_1-268,Mitarbeiter,"wir könnten natürlich auf 16 oder 17 stunden gehen, im fall der fälle würden wir nicht viel verlieren aber zumindest etwas mehr bekommen",1574774844.967645
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,ja jetzt hab ich sorge dass es tatsächlich nicht nach zufall passiert haha,1574774847.564398
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,hahhaha,1574774848.9443572
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,dann werden 15 punlkte abgezogen,1574774849.494805
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,:DD,1574774852.148864
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,naja ,1574774853.491412
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,ja aber sind doch eh peanuts und wenn wir nicht erwischt werden lohnt wenigstens ,1574774855.134559
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,hade,1574774859.2411442
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,ja das ist gut,1574774860.069717
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,tmm,1574774862.35648
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,ja wrd ich aber auch sagen,1574774863.3266618
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,50,1574774863.908714
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,fuffi,1574774866.924763
lz7dyuw7,214,3,jemdgnjp,214-stage_1-268,Mitarbeiter,also 16 oder 17,1574774868.976771
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,alles auf rot,1574774869.8562171
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,wahrscheinlich werden die anderen auch so denken,1574774870.378599
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,chat beenden?,1574774872.372024
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,also geben wir dann 30 an ?,1574774872.694071
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,17?,1574774872.853565
lz7dyuw7,214,2,bgb6kfog,214-stage_1-267,Mitarbeiter,Wir haben 15 Überstunden ,1574774872.874665
lz7dyuw7,214,8,7xfwb0zu,214-stage_1-270,Mitarbeiter,guti 70,1574774874.790936
lz7dyuw7,214,3,jemdgnjp,214-stage_1-268,Mitarbeiter,okay 17,1574774876.208398
lz7dyuw7,214,7,k91ypf06,214-stage_1-270,Mitarbeiter,perfekt,1574774878.6860669
lz7dyuw7,214,12,74xuezf4,214-stage_1-272,Mitarbeiter,ya,1574774879.440614
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,okay,1574774879.5094268
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,wenn alle das machen ist die wahrscheinlichkeit wieder gering,1574774882.731925
lz7dyuw7,214,3,jemdgnjp,214-stage_1-268,Mitarbeiter,also chat beenden?,1574774884.808656
lz7dyuw7,214,11,h5s37olr,214-stage_1-272,Mitarbeiter,eyva,1574774884.9714692
lz7dyuw7,214,4,5t4153nm,214-stage_1-268,Mitarbeiter,ja,1574774895.4560032
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,sagen wir 35?,1574774898.8928058
lz7dyuw7,214,1,13k4262b,214-stage_1-267,Mitarbeiter,"Hallo, wie wäre es denn, wenn wir bei der Wahrheit bleiben und das eingeben, was im Brief steht ?",1574774900.558768
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,ok,1574774915.2275898
lz7dyuw7,214,2,bgb6kfog,214-stage_1-267,Mitarbeiter,finde ich völlig in Ordnung,1574774915.512862
lz7dyuw7,214,1,13k4262b,214-stage_1-267,Mitarbeiter,"Ja, 15 ist richtig.",1574774915.719428
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,okay,1574774918.915178
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,dann viel erfolg für un shaha,1574774934.52369
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,oder ne 40,1574774935.978922
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,40?,1574774939.2352011
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,40 ,1574774939.435698
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,abgemacht,1574774941.76289
lz7dyuw7,214,1,13k4262b,214-stage_1-267,Mitarbeiter,"O. k., dann machen wir das doch.",1574774943.623101
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,okay gut,1574774943.778534
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,also 40 fest ,1574774947.57863
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,ja,1574774951.171735
lz7dyuw7,214,2,bgb6kfog,214-stage_1-267,Mitarbeiter,okay#,1574774951.641549
lz7dyuw7,214,1,13k4262b,214-stage_1-267,Mitarbeiter,Wollen wir den Chat beenden ?,1574774968.838654
lz7dyuw7,214,14,q0k1uimp,214-stage_1-273,Mitarbeiter,dann tschau ,1574774970.739361
lz7dyuw7,214,2,bgb6kfog,214-stage_1-267,Mitarbeiter,ja,1574774976.096585
lz7dyuw7,214,13,4cuvzyul,214-stage_1-273,Mitarbeiter,ciao,1574774977.850448
lz7dyuw7,214,1,13k4262b,214-stage_1-267,Mitarbeiter,"O. k., tschüß dann.",1574774988.438196
