participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.hours_stated_player,player.is_audited,player.prob_to_check,player.fine,player.lab_points,player.points_euro,player.same_hours_player,player.audited_both,player.control_correct,player.belief,player.age,player.gender,player.study,player.study_level,player.econ,player.moral_freude,player.moral_aerger,player.moral_angst,player.moral_scham,player.moral_schuld,player.risk,player.lie,player.complex,player.pol,player.income,player.pray,player.lab_exp,player.exp_demand_q,player.exp_demand_open,player.exp_demand_chat,player.exp_demand_chat_open,player.feedback,player.payoff,group.id_in_subsession,group.classifier_result,group.to_audit,group.same_hours,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9eay12gb,,0,9,9,stage_2,questions_other,2019-11-11 13:54:38.719310+00:00,1,,,500.00,1,,1,,500,,,,,,,2,2,5,2,,,,,,,2,,,,,,,,,,,,500.00,1,,1,,1,zku4ck7d,,,,,,1
2,jbicem9j,,0,7,9,stage_2,questions,2019-11-11 13:54:38.721049+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,zku4ck7d,,,,,,1
1,92of9umw,,0,9,9,stage_2,questions_other,2019-11-11 14:00:00.949340+00:00,1,,,500.00,1,,1,,500,,,,,,,3,3,7,2,,,,,,,2,,,,,,,,,,,,500.00,1,,1,,1,ca2qve78,,,,,,1
2,8d0u5jzs,,0,7,9,stage_2,questions,2019-11-11 14:00:00.951491+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,ca2qve78,,,,,,1
1,aqwzyfyd,,0,9,9,stage_2,questions_other,2019-11-11 14:01:17.207354+00:00,1,,,500.00,1,,1,,500,,,,,,,2,2,5,4,,,,,,,2,,,,,,,,,,,,500.00,1,,1,,1,i2mxudso,,,,,,1
2,x2i2xdhm,,0,7,9,stage_2,questions,2019-11-11 14:01:17.209040+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,i2mxudso,,,,,,1
1,z4d5kvxe,,0,7,7,stage_2,questions_other,2019-11-11 14:02:27.007831+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,an68qlzb,,,,,,1
2,jcfcegqb,,0,7,7,stage_2,questions_other,2019-11-11 14:02:27.006198+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,an68qlzb,,,,,,1
1,xqp6o1y0,,0,7,7,stage_2,questions_other,2019-11-11 14:03:40.770561+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,g5lchnaq,,,,,,1
2,8hebcwmf,,0,6,7,stage_2,income_stated,2019-11-11 14:03:40.774129+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,g5lchnaq,,,,,,1
1,p6qcuiyq,,0,7,7,stage_2,questions_other,2019-11-11 14:06:44.939906+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,izc0qdjp,,,,,,1
2,x0mnrr4n,,0,6,7,stage_2,income_stated,2019-11-11 14:06:44.941734+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,izc0qdjp,,,,,,1
1,dwqqe5o8,,0,7,7,stage_2,questions_moral,2019-11-11 14:28:21.353702+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,p0ie5yap,,,,,,1
2,gchqmd1z,,0,7,7,stage_2,questions_moral,2019-11-11 14:28:21.429774+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,p0ie5yap,,,,,,1
1,11ddskqj,,0,7,7,stage_2,questions_other,2019-11-11 14:39:31.406229+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,ku3mpjjx,,,,,,1
2,cub8bz3b,,0,6,7,stage_2,income_stated,2019-11-11 14:39:31.412256+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,ku3mpjjx,,,,,,1
1,0pb19a0h,,0,9,8,stage_2,questions_expdem,2019-11-11 14:55:33.444218+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,5,5,5,,,,,,,2,,,500.00,1,,1,,1,xd750r6x,,,,,,1
2,955lzijs,,0,9,8,stage_2,questions_expdem,2019-11-11 14:55:33.438193+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,5,5,5,,,,,,,2,,,500.00,1,,1,,1,xd750r6x,,,,,,1
1,8qtv41xf,,0,10,9,stage_2,outro,2019-11-11 15:00:03.207411+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,5,5,5,,,,,,,2,,,500.00,1,,1,,1,2de6ndrc,,,,,,1
2,0oeam9bl,,0,10,9,stage_2,outro,2019-11-11 15:00:03.209612+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,5,5,5,,,,,,,1,,,500.00,1,,1,,1,2de6ndrc,,,,,,1
1,uz3u2mio,,0,4,11,stage_1,chat_wait,2019-11-11 15:04:57.511154+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,cooxfxhd,,,,,,1
2,8zx3fsyk,,0,1,11,stage_1,introduction,2019-11-11 15:04:57.587457+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,cooxfxhd,,,,,,1
1,o2o1tvsu,,0,11,11,stage_2,outro,2019-11-11 15:12:34.377834+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,5,5,5,,,,,,,1,,,500.00,1,,1,,1,ksxmoxsa,,,,,,1
2,x59touig,,0,11,11,stage_2,outro,2019-11-11 15:12:34.376097+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,5,5,5,,,,,,,1,,,500.00,1,,1,,1,ksxmoxsa,,,,,,1
1,82blfec2,,0,9,13,stage_2,questions_socio,2019-11-11 19:11:38.356586+00:00,1,,,41.00,1,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,1,,1,1,1,fxn8nrfl,,,,,,1
2,oervu4b1,,0,13,13,stage_2,outro,2019-11-11 19:11:38.358361+00:00,1,,,41.00,2,2,1,,2,,,1,,,,2,3,2,2,,0,7,9,0,1,1,9,2,,,,,,,1,,,41.00,1,,1,1,1,fxn8nrfl,,,,,,1
1,qoqukats,,0,13,13,stage_2,outro,2019-11-11 19:20:40.125554+00:00,1,,,40.00,1,4,1,,4,,,0,,,,2,3,3,2,,5,5,5,5,5,5,5,5,,,,,,,1,,,40.00,1,,1,0,1,732infbf,,,,,,1
2,1xm1g9xh,,0,8,13,stage_2,inform_payoff,2019-11-11 19:21:18.486990+00:00,1,,,40.00,2,3,1,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,732infbf,,,,,,1
1,56a9i455,,0,7,12,stage_2,questions_moral,2019-11-14 07:45:42.432132+00:00,1,,,40.00,1,1,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,g1yd3ug2,,,,,,1
2,ao6jojen,,0,7,12,stage_2,questions_moral,2019-11-14 07:45:42.430244+00:00,1,,,40.00,2,2,1,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,g1yd3ug2,,,,,,1
1,gxw5ajdu,,0,7,12,stage_2,questions_moral,2019-11-14 07:48:30.296083+00:00,1,,,40.00,1,1,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,l5jop8rv,,,,,,1
2,05quo264,,0,7,12,stage_2,questions_moral,2019-11-14 07:48:30.298535+00:00,1,,,40.00,2,2,1,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,l5jop8rv,,,,,,1
1,9lb281uf,,0,8,13,stage_2,questions_moral,2019-11-14 07:59:39.815914+00:00,1,,,40.00,1,1,1,,1,,,0,,,,1,1,2,1,,1,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,7i35nmrj,,,,,,1
2,gdinknap,,0,7,13,stage_2,questions_socio,2019-11-14 07:59:39.814172+00:00,1,,,40.00,2,2,1,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,7i35nmrj,,,,,,1
1,3so0489a,,0,8,13,stage_2,questions_moral,2019-11-14 08:16:31.981681+00:00,1,,,41.00,1,1,1,,1,,,1,,,,2,2,1,2,,,,,,,,,,,,,,,,,,,41.00,1,,1,1,1,2wxvxx4i,,,,,,1
2,q1x9sr3y,,0,7,13,stage_2,questions_socio,2019-11-14 08:16:31.983440+00:00,1,,,41.00,2,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,1,,1,1,1,2wxvxx4i,,,,,,1
1,obkyi2sm,,0,6,11,stage_2,questions_moral,2019-11-14 08:17:56.729311+00:00,1,,,40.00,1,1,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,xyn9ermj,,,,,,1
2,rft6g44m,,0,6,11,stage_2,questions_moral,2019-11-14 08:17:56.731454+00:00,1,,,40.00,2,2,1,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,xyn9ermj,,,,,,1
1,3advkmuc,,0,6,11,stage_2,questions_moral,2019-11-14 08:21:17.807316+00:00,1,,,40.00,1,1,1,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,63dybjf2,,,,,,1
2,ycnvbrm4,,0,6,11,stage_2,questions_moral,2019-11-14 08:21:17.804825+00:00,1,,,40.00,2,2,1,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,1,,1,0,1,63dybjf2,,,,,,1
1,1h9qxopg,,0,7,11,stage_2,questions_other,2019-11-14 08:24:06.561914+00:00,1,,,41.00,1,2,1,,2,,,1,,,,,,,,,4,7,7,7,6,,,,,,,,,,,,,41.00,1,,1,1,1,j7i0bmhn,,,,,,1
2,9ypm8uwu,,0,6,11,stage_2,questions_moral,2019-11-14 08:24:06.558631+00:00,1,,,41.00,2,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,1,,1,1,1,j7i0bmhn,,,,,,1
1,l0rmyxaq,,0,2,16,stage_1,check_understanding,2019-11-14 19:02:37.553804+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,r18ujial,,,,,,1
2,0atzrqx5,,0,2,16,stage_1,check_understanding,2019-11-14 19:02:37.555487+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,r18ujial,,,,,,1
1,2on04mfm,,0,4,16,stage_1,chat,2019-11-14 19:12:20.099155+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,c18noo7k,,,,,,1
2,nl7ni6j9,,0,4,16,stage_1,chat,2019-11-14 19:12:20.101140+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,c18noo7k,,,,,,1
1,l3ni34y4,,0,14,14,stage_2,outro,2019-11-14 19:17:49.363496+00:00,1,,,41.00,1,3,1,,3,,,1,,,,2,2,2,4,,4,7,4,6,6,4,5,4,,,,,,f,2,f,s,41.00,1,,1,1,1,6vtf12g3,,,,,,1
2,m544dt80,,0,8,14,stage_2,questions_socio,2019-11-14 19:17:49.368690+00:00,1,,,41.00,2,3,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,1,,1,1,1,6vtf12g3,,,,,,1
1,9qe9302y,,0,12,14,stage_2,inform_payoff,2019-11-14 20:02:24.494137+00:00,1,,,41.00,1,2,1,,2,,,1,,,,3,1,3,4,,6,4,4,4,4,7,2,4,,,,,,3,2,r,,41.00,1,,1,1,1,not0b7yd,,,,,,1
2,hvsae99s,,0,8,14,stage_2,questions_socio,2019-11-14 20:02:24.496058+00:00,1,,,41.00,2,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,1,,1,1,1,not0b7yd,,,,,,1
1,6e0sxrjj,,0,7,14,stage_2,hours_wait,2019-11-14 20:26:46.469514+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,pqcvooih,,,,,,1
2,sbor9xkd,,0,7,14,stage_2,hours_wait,2019-11-14 20:26:46.466495+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,pqcvooih,,,,,,1
1,ic4h21sf,,0,7,14,stage_2,hours_wait,2019-11-14 20:28:11.509157+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,f9abh44k,,,,,,1
2,pml9sngn,,0,7,14,stage_2,hours_wait,2019-11-14 20:28:11.504341+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,f9abh44k,,,,,,1
1,y79ojaz9,,0,8,15,stage_2,hours_wait,2019-11-14 20:31:12.998002+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,mavaf8q5,,,,,,1
2,50dcddqk,,0,8,15,stage_2,hours_wait,2019-11-14 20:31:12.999889+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,mavaf8q5,,,,,,1
1,ja9uvksz,,0,9,15,stage_2,questions_socio,2019-11-14 20:41:23.811100+00:00,1,,,0.00,1,2,1,,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,o6o93dxn,,,,,,1
2,5scbu2kr,,0,9,15,stage_2,questions_socio,2019-11-14 20:41:23.812784+00:00,1,,,0.00,2,2,1,,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,o6o93dxn,,,,,,1
1,f3sg1e19,,0,13,15,stage_2,inform_payoff,2019-11-14 20:53:51.299045+00:00,1,,,0.00,1,2,1,,13,,,1,,,,2,1,1,2,,5,5,4,5,3,8,3,5,,,,,,2,1,2,,0.00,1,,1,1,1,of4mmwzw,,,,,,1
2,wclb64k4,,0,13,15,stage_2,inform_payoff,2019-11-14 20:53:51.300974+00:00,1,,,0.00,2,2,1,,13,,,1,,,,2,3,1,2,,8,7,6,6,5,4,1,3,,,,,,2,1,2,,0.00,1,,1,1,1,of4mmwzw,,,,,,1
1,riko890e,,0,13,15,stage_2,inform_payoff,2019-11-18 08:34:59.323940+00:00,1,,,0.00,1,1,1,,-14,,,0,,,,2,2,6,4,,3,3,3,4,4,5,1,4,,,,,,www,1,ww,,0.00,1,,1,0,1,3x2p50yz,,,,,,1
2,8fy51p7k,,0,9,15,stage_2,questions_socio,2019-11-18 08:34:59.325775+00:00,1,,,0.00,2,2,1,,-13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,0,1,3x2p50yz,,,,,,1
1,lwnafwzb,,0,2,15,stage_1,chat_wait_before,2019-11-18 08:43:55.956671+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,uytnga5m,,,,,,1
2,g8jrfcp2,,0,1,15,stage_1,check_understanding,2019-11-18 08:43:55.958441+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,uytnga5m,,,,,,1
1,njf2ivqk,,0,2,16,stage_1,feedback_understanding,2019-11-18 08:48:54.803118+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,3nh1a11z,,,,,,1
2,htzcmqb3,,0,1,16,stage_1,check_understanding,2019-11-18 08:48:54.808468+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,3nh1a11z,,,,,,1
1,0hwfmpy5,,0,2,16,stage_1,feedback_understanding,2019-11-18 08:51:34.111640+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,98l5nhp6,,,,,,1
2,x16csss4,,0,1,16,stage_1,check_understanding,2019-11-18 08:51:34.109708+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,98l5nhp6,,,,,,1
1,imf4fxnn,,0,8,16,stage_1,state_hours_wait,2019-11-18 08:52:53.012443+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,ern9bcmu,,,,,,1
2,kc16kjc2,,0,8,16,stage_1,state_hours_wait,2019-11-18 08:52:53.010535+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,ern9bcmu,,,,,,1
1,hcptm11k,,0,6,16,stage_1,state_hours,2019-11-18 08:57:41.303928+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,l0j2wf4l,,,,,,1
2,kiv6gjq6,,0,6,16,stage_1,state_hours,2019-11-18 08:57:41.302027+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,l0j2wf4l,,,,,,1
1,4n5n7wbc,,0,15,17,stage_2,inform_payoff,2019-11-18 09:03:04.640125+00:00,1,,,0.00,1,1,1,,-14,,,1,,,,1,3,1,4,,2,2,5,4,4,5,1,5,,,,,,1,2,1,,0.00,1,,1,1,1,e0uql0da,,,,,,1
2,jkcvpd4w,,0,11,17,stage_2,questions_socio,2019-11-18 09:03:04.642126+00:00,1,,,0.00,2,1,1,,-14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,1,1,e0uql0da,,,,,,1
